,Year,Month_Name,Date,State,Vehicle_Class,Vehicle_Category,Vehicle_Type,EV_Sales_Quantity,Month,Day,Sales_Rolling_3
0,2014,jan,2014-01-01,Andhra Pradesh,ADAPTED VEHICLE,Others,Others,0,1,1,
1,2014,jan,2014-01-01,Andhra Pradesh,AGRICULTURAL TRACTOR,Others,Others,0,1,1,
2,2014,jan,2014-01-01,Andhra Pradesh,AMBULANCE,Others,Others,0,1,1,0.0
3,2014,jan,2014-01-01,Andhra Pradesh,ARTICULATED VEHICLE,Others,Others,0,1,1,0.0
4,2014,jan,2014-01-01,Andhra Pradesh,BUS,Bus,Bus,0,1,1,0.0
5,2014,jan,2014-01-01,Andhra Pradesh,CASH VAN,Others,Others,0,1,1,0.0
6,2014,jan,2014-01-01,Andhra Pradesh,CRANE MOUNTED VEHICLE,Others,Others,0,1,1,0.0
7,2014,jan,2014-01-01,Andhra Pradesh,EDUCATIONAL INSTITUTION BUS,Bus,Institution Bus,0,1,1,0.0
8,2014,jan,2014-01-01,Andhra Pradesh,EXCAVATOR (COMMERCIAL),Others,Others,0,1,1,0.0
9,2014,jan,2014-01-01,Andhra Pradesh,FORK LIFT,Others,Others,0,1,1,0.0
10,2014,jan,2014-01-01,Andhra Pradesh,GOODS CARRIER,Others,Others,0,1,1,0.0
11,2014,jan,2014-01-01,Andhra Pradesh,HARVESTER,Others,Others,0,1,1,0.0
12,2014,jan,2014-01-01,Andhra Pradesh,MAXI CAB,Others,Others,0,1,1,0.0
13,2014,jan,2014-01-01,Andhra Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1,1,1,0.3333333333333333
14,2014,jan,2014-01-01,Andhra Pradesh,MOTOR CAB,4-Wheelers,4W_Shared,0,1,1,0.3333333333333333
15,2014,jan,2014-01-01,Andhra Pradesh,MOTOR CAR,4-Wheelers,4W_Personal,0,1,1,0.3333333333333333
16,2014,jan,2014-01-01,Andhra Pradesh,OMNI BUS,Bus,Bus,0,1,1,0.0
